ITERATION, [OBJ_FUNC]MIN_VOL, [OBJ]OBJ_FUNC_DRESP:DRESP_VOL_TOPO, [OBJ]OBJ_FUNC_TERM:DRESP_VOL_TOPO, [CON]DISP_CONSTRAINT:LE:DRESP_DISP1_ABS_MAX, [VAR]DRESP_SUM_ENERGY, [VAR]DRESP_VOL_TOPO, [VAR]DRESP_DISP1_ABS_MAX, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
41, 1.4779590e+3, 1.4779590e+3, 1.4779590e+3, 5.9701502e-2, 2.3571482, 1.4779590e+3, 5.9701502e-2, 0.0000000, 4.1844705e-3, 5.5277077e-3, 9.9000001e-1
42, 1.4731958e+3, 1.4731958e+3, 1.4731958e+3, 5.9725035e-2, 2.3581100, 1.4731958e+3, 5.9725035e-2, 0.0000000, 3.6336065e-3, 5.3715678e-3, 9.9000001e-1
43, 1.4688359e+3, 1.4688359e+3, 1.4688359e+3, 5.9776589e-2, 2.3601334, 1.4688359e+3, 5.9776589e-2, 0.0000000, 3.3372189e-3, 5.1126173e-3, 9.9000001e-1
44, 1.4652621e+3, 1.4652621e+3, 1.4652621e+3, 5.9814349e-2, 2.3615916, 1.4652621e+3, 5.9814349e-2, 0.0000000, 2.7430207e-3, 4.7807172e-3, 9.9000001e-1
45, 1.4621946e+3, 1.4621946e+3, 1.4621946e+3, 5.9813764e-2, 2.3615317, 1.4621946e+3, 5.9813764e-2, 0.0000000, 2.3594175e-3, 4.9435538e-3, 9.9000001e-1
46, 1.4590447e+3, 1.4590447e+3, 1.4590447e+3, 5.9895050e-2, 2.3647335, 1.4590447e+3, 5.9895050e-2, 0.0000000, 2.4284471e-3, 5.0965887e-3, 9.9000001e-1
47, 1.4568420e+3, 1.4568420e+3, 1.4568420e+3, 5.9882205e-2, 2.3641922, 1.4568420e+3, 5.9882205e-2, 0.0000000, 1.7007553e-3, 5.2604889e-3, 9.9000001e-1
48, 1.4544281e+3, 1.4544281e+3, 1.4544281e+3, 5.9901226e-2, 2.3648851, 1.4544281e+3, 5.9901226e-2, 0.0000000, 1.8681253e-3, 5.3245658e-3, 9.9000001e-1
49, 1.4524678e+3, 1.4524678e+3, 1.4524678e+3, 5.9913374e-2, 2.3653402, 1.4524678e+3, 5.9913374e-2, 0.0000000, 1.5196283e-3, 5.0663506e-3, 9.9000001e-1
50, 1.4506959e+3, 1.4506959e+3, 1.4506959e+3, 5.9863459e-2, 2.3633039, 1.4506959e+3, 5.9863459e-2, 0.0000000, 1.3750392e-3, 4.8121815e-3, 9.9000001e-1
51, 1.4484631e+3, 1.4484631e+3, 1.4484631e+3, 5.9894357e-2, 2.3644984, 1.4484631e+3, 5.9894357e-2, 0.0000000, 1.7362522e-3, 4.1034040e-3, 9.9000001e-1
52, 1.4467117e+3, 1.4467117e+3, 1.4467117e+3, 5.9867229e-2, 2.3633516, 1.4467117e+3, 5.9867229e-2, 0.0000000, 1.3624142e-3, 3.6532669e-3, 9.9000001e-1
53, 1.4447034e+3, 1.4447034e+3, 1.4447034e+3, 5.9935812e-2, 2.3660169, 1.4447034e+3, 5.9935812e-2, 0.0000000, 1.5660095e-3, 2.9265021e-3, 9.9000001e-1
54, 1.4435970e+3, 1.4435970e+3, 1.4435970e+3, 5.9935171e-2, 2.3660989, 1.4435970e+3, 5.9935171e-2, 1.0000000, 8.6255441e-4, 2.8248932e-3, 9.9000001e-1
