ITERATION, [OBJ_FUNC]MIN_VOLUME, [OBJ]OBJ_FUNC_DRESP:DRESP_VOLUME, [OBJ]OBJ_FUNC_TERM:DRESP_VOLUME, [CON]STRESS_CONSTRAINT:LE:DRESP_STRESS, [VAR]DRESP_VOLUME, [VAR]DRESP_STRESS, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
38, 5.4737781e+4, 5.4737781e+4, 5.4737781e+4, 7.9725177e+2, 5.4737781e+4, 7.9725177e+2, 0.0000000, 7.4753985e-3, 1.3629949e-3, 9.9000001e-1
39, 5.4658484e+4, 5.4658484e+4, 5.4658484e+4, 7.6469781e+2, 5.4658484e+4, 7.6469781e+2, 0.0000000, 3.3414084e-3, 7.3287560e-4, 9.9000001e-1
40, 5.4391938e+4, 5.4391938e+4, 5.4391938e+4, 8.0931311e+2, 5.4391938e+4, 8.0931311e+2, 0.0000000, 1.1346590e-2, 2.0775732e-3, 9.9000001e-1
41, 5.4577980e+4, 5.4577980e+4, 5.4577980e+4, 7.7181604e+2, 5.4577980e+4, 7.7181604e+2, 0.0000000, 7.7875336e-3, 1.5028274e-3, 9.9000001e-1
42, 5.4340844e+4, 5.4340844e+4, 5.4340844e+4, 7.8909222e+2, 5.4340844e+4, 7.8909222e+2, 0.0000000, 1.0030883e-2, 1.8893860e-3, 9.9000001e-1
43, 5.4218055e+4, 5.4218055e+4, 5.4218055e+4, 7.9859351e+2, 5.4218055e+4, 7.9859351e+2, 0.0000000, 5.2330326e-3, 1.0599032e-3, 9.9000001e-1
44, 5.4168969e+4, 5.4168969e+4, 5.4168969e+4, 7.9347296e+2, 5.4168969e+4, 7.9347296e+2, 0.0000000, 2.1139730e-3, 5.2068027e-4, 9.9000001e-1
45, 5.4026156e+4, 5.4026156e+4, 5.4026156e+4, 7.9726697e+2, 5.4026156e+4, 7.9726697e+2, 0.0000000, 6.1431807e-3, 1.2880693e-3, 9.9000001e-1
46, 5.3948461e+4, 5.3948461e+4, 5.3948461e+4, 7.9633386e+2, 5.3948461e+4, 7.9633386e+2, 0.0000000, 3.3512467e-3, 7.6920743e-4, 9.9000001e-1
47, 5.3852590e+4, 5.3852590e+4, 5.3852590e+4, 7.9650525e+2, 5.3852590e+4, 7.9650525e+2, 0.0000000, 4.1694189e-3, 9.4159856e-4, 9.9000001e-1
